keys,pt_BR,en
Inclusive o seu. Inclusive o de quem ainda não nasceu.,Inclusive o seu. Inclusive o de quem ainda não nasceu.,Yours included. Including people not born yet.
Todas as Mensagens Possíveis,Todas as Mensagens Possíveis,Every Possible Message
Cada frase de vinte caracteres que poderia existir. Inclusive as que ninguém diria.,Cada frase de vinte caracteres que poderia existir. Inclusive as que ninguém diria.,Every twenty-character sentence that could exist. Including the ones nobody would say.
Um Caractere por Átomo da Terra,Um Caractere por Átomo da Terra,One Character per Atom of Earth
"Um caractere para cada átomo deste planeta. O planeta inteiro, escrito.","Um caractere para cada átomo deste planeta. O planeta inteiro, escrito.","One character for every atom on this planet. The whole planet, written down."
Você Não Produz Mais Texto,Você Não Produz Mais Texto,You Are No Longer Producing Text
Você não está mais produzindo textos. Você está percorrendo possibilidades.,Você não está mais produzindo textos. Você está percorrendo possibilidades.,You are not producing texts any more. You are walking through possibilities.
Todas as Páginas Possíveis,Todas as Páginas Possíveis,Every Possible Page
Toda página de mil e oitocentos caracteres que poderia ser escrita. Quase todas são lixo.,Toda página de mil e oitocentos caracteres que poderia ser escrita. Quase todas são lixo.,Every eighteen-hundred-character page that could be written. Almost all of it is garbage.
Um Caractere por Átomo do Universo,Um Caractere por Átomo do Universo,One Character per Atom in the Universe
Um caractere para cada átomo do universo observável. Ainda sobra macaco digitando.,Um caractere para cada átomo do universo observável. Ainda sobra macaco digitando.,One character for every atom in the observable universe. There are still monkeys typing.
Uma Única Letra Diferente,Uma Única Letra Diferente,A Single Different Letter
Para cada história que poderia ser escrita existem incontáveis versões nas quais uma única letra é diferente.,Para cada história que poderia ser escrita existem incontáveis versões nas quais uma única letra é diferente.,For every story that could be written there are countless versions where one single letter differs.
Todos os Parágrafos Possíveis,Todos os Parágrafos Possíveis,Every Possible Paragraph
Cada parágrafo de quinhentos caracteres que poderia existir. Um deles descreve você.,Cada parágrafo de quinhentos caracteres que poderia existir. Um deles descreve você.,Every five-hundred-character paragraph that could exist. One of them describes you.
Todos os Universos Descritos,Todos os Universos Descritos,Every Universe Described
Para cada universo descrito existem outros textos descrevendo universos quase idênticos.,Para cada universo descrito existem outros textos descrevendo universos quase idênticos.,For every universe described there are other texts describing nearly identical universes.
Todos os Capítulos Possíveis,Todos os Capítulos Possíveis,Every Possible Chapter
Inclusive o capítulo em que alguém desiste de contar.,Inclusive o capítulo em que alguém desiste de contar.,Including the chapter where somebody gives up counting.
Todos os Livros Possíveis,Todos os Livros Possíveis,Every Possible Book
Todo livro que poderia existir em qualquer idioma. Inclusive este.,Todo livro que poderia existir em qualquer idioma. Inclusive este.,Every book that could exist in any language. Including this one.
A Combinação Inevitável,A Combinação Inevitável,The Inevitable Combination
Se existe uma combinação finita de caracteres seus macacos inevitavelmente chegarão até ela.,Se existe uma combinação finita de caracteres seus macacos inevitavelmente chegarão até ela.,If a finite combination of characters exists your monkeys will inevitably reach it.
Todas as Bibliotecas Possíveis,Todas as Bibliotecas Possíveis,Every Possible Library
Não uma biblioteca com todos os livros: todas as bibliotecas que poderiam existir.,Não uma biblioteca com todos os livros: todas as bibliotecas que poderiam existir.,Not one library with every book: every library that could exist.
A Biblioteca do Infinito,A Biblioteca do Infinito,The Library of Infinity
Todos os textos possíveis. Tudo que foi escrito e tudo que poderia ter sido.,Todos os textos possíveis. Tudo que foi escrito e tudo que poderia ter sido.,Every possible text. Everything written and everything that could have been.
ESTATÍSTICAS,ESTATÍSTICAS,STATISTICS
Total de caracteres,Total de caracteres,Total characters
Caracteres desta run,Caracteres desta run,Characters this run
Caracteres por segundo,Caracteres por segundo,Characters per second
Recorde de caracteres por segundo,Recorde de caracteres por segundo,Record characters per second
Macacos trabalhando,Macacos trabalhando,Monkeys working
Macacos comprados,Macacos comprados,Monkeys purchased
Descobertas realizadas,Descobertas realizadas,Discoveries made
Marcos do Panorama alcançados,Marcos do Panorama alcançados,Panorama milestones reached
Upgrades comprados,Upgrades comprados,Upgrades purchased
Prestígios realizados,Prestígios realizados,Prestiges performed
Pontos de Teorema,Pontos de Teorema,Theorem Points
Produção offline acumulada,Produção offline acumulada,Offline production accumulated
Tempo total jogado,Tempo total jogado,Total time played
Tempo desta run,Tempo desta run,Time this run
Bananas consumidas,Bananas consumidas,Bananas consumed
Máquinas destruídas,Máquinas destruídas,Typewriters destroyed
Macacos que aprenderam a escrever,Macacos que aprenderam a escrever,Monkeys that learned to write
Macacos que aparentemente aprenderam física,Macacos que aparentemente aprenderam física,Monkeys that apparently learned physics
Hamlets produzidos,Hamlets produzidos,Hamlets produced
Textos que ninguém jamais lerá,Textos que ninguém jamais lerá,Texts nobody will ever read
Erros ortográficos estimados,Erros ortográficos estimados,Estimated spelling mistakes
SEM GRANDE UTILIDADE,SEM GRANDE UTILIDADE,OF NO PARTICULAR USE
Memória Genética,Memória Genética,Genetic Memory
Déjà Vu Literário,Déjà Vu Literário,Literary Déjà Vu
Conhecimento Acumulado,Conhecimento Acumulado,Accumulated Knowledge
Biblioteca Persistente,Biblioteca Persistente,Persistent Library
Produção Offline,Produção Offline,Offline Production
Probabilidade Condensada,Probabilidade Condensada,Condensed Probability
Teorema Refinado,Teorema Refinado,Refined Theorem
Os macacos nascem sabendo. Cada nível deixa a digitação 25% mais rápida.,Os macacos nascem sabendo. Cada nível deixa a digitação 25% mais rápida.,The monkeys are born knowing. Each level makes typing 25% faster.
Alguém já digitou isso antes. Dobra a chance de descoberta por nível.,Alguém já digitou isso antes. Dobra a chance de descoberta por nível.,Somebody has typed this before. Doubles discovery chance per level.
Cada run começa com os upgrades básicos já comprados. Um por nível.,Cada run começa com os upgrades básicos já comprados. Um por nível.,Each run starts with the basic upgrades already bought. One per level.
O que foi descoberto não se perde ao provar o Teorema.,O que foi descoberto não se perde ao provar o Teorema.,What has been discovered is not lost when you prove the Theorem.
Os macacos continuam enquanto o jogo está fechado. Cada nível estica o teto.,Os macacos continuam enquanto o jogo está fechado. Cada nível estica o teto.,The monkeys keep going while the game is closed. Each level stretches the cap.
Cada ordem de grandeza já atingida vira um pequeno multiplicador permanente.,Cada ordem de grandeza já atingida vira um pequeno multiplicador permanente.,Every order of magnitude reached becomes a small permanent multiplier.
Provar o Teorema rende 50% mais pontos por nível.,Provar o Teorema rende 50% mais pontos por nível.,Proving the Theorem yields 50% more points per level.
TEOREMAS,TEOREMAS,THEOREMS
Provar o Teorema,Provar o Teorema,Prove the Theorem
Confirmar,Confirmar,Confirm
Cancelar,Cancelar,Cancel
"Isto reinicia macacos, máquinas, dinheiro e salas.","Isto reinicia macacos, máquinas, dinheiro e salas.","This resets monkeys, typewriters, money and rooms."
Você levaria %s Pontos de Teorema.,Você levaria %s Pontos de Teorema.,You would take %s Theorem Points.
Pontos disponíveis,Pontos disponíveis,Points available
Nível %s de %s,Nível %s de %s,Level %s of %s
Máximo,Máximo,Maxed
Ainda não desbloqueado,Ainda não desbloqueado,Not unlocked yet
A Mesa,A Mesa,The Desk
Um macaco. Uma máquina. Uma sala pequena.,Um macaco. Uma máquina. Uma sala pequena.,One monkey. One typewriter. One small room.
Sala de Digitação,Sala de Digitação,Typing Room
Dezenas de macacos ao mesmo tempo. As máquinas começam a ocupar tudo.,Dezenas de macacos ao mesmo tempo. As máquinas começam a ocupar tudo.,Dozens of monkeys at once. The machines start taking over.
Escritório dos Macacos,Escritório dos Macacos,Monkey Office
Centenas de máquinas. Esteiras levando papel. Alguém administrando páginas.,Centenas de máquinas. Esteiras levando papel. Alguém administrando páginas.,Hundreds of machines. Conveyors carrying paper. Somebody managing pages.
Fábrica Literária,Fábrica Literária,Literary Factory
Milhares de macacos. Rolos gigantes de papel. Armazéns de páginas.,Milhares de macacos. Rolos gigantes de papel. Armazéns de páginas.,Thousands of monkeys. Giant paper rolls. Warehouses of pages.
Complexo de Digitação,Complexo de Digitação,Typing Complex
Milhões de macacos em prédios dedicados a produzir texto aleatório.,Milhões de macacos em prédios dedicados a produzir texto aleatório.,Millions of monkeys in buildings dedicated to random text.
Cidade dos Macacos,Cidade dos Macacos,Monkey City
Uma cidade inteira digitando. Apartamentos. Fábricas. Bibliotecas.,Uma cidade inteira digitando. Apartamentos. Fábricas. Bibliotecas.,An entire city typing. Apartments. Factories. Libraries.
Planeta Tipográfico,Planeta Tipográfico,Typographic Planet
O planeta inteiro virou uma máquina de produzir texto.,O planeta inteiro virou uma máquina de produzir texto.,The whole planet became a text-producing machine.
Banana na Máquina,Banana na Máquina,Banana in the Typewriter
Um macaco parou de trabalhar. Clique na banana para resolver.,Um macaco parou de trabalhar. Clique na banana para resolver.,One monkey stopped working. Click the banana to sort it out.
Macaco Inspirado,Macaco Inspirado,Inspired Monkey
Um macaco entrou em estado de inspiração. Ninguém sabe explicar.,Um macaco entrou em estado de inspiração. Ninguém sabe explicar.,One monkey entered a state of inspiration. Nobody can explain it.
Tecla Presa,Tecla Presa,Stuck Key
Uma máquina só produz a mesma letra. Muito caractere e nenhuma descoberta.,Uma máquina só produz a mesma letra. Muito caractere e nenhuma descoberta.,One machine only makes the same letter. Many characters and no discoveries.
Crítico Literário,Crítico Literário,Literary Critic
Alguém decidiu levar isto a sério. As descobertas valem mais por um tempo.,Alguém decidiu levar isto a sério. As descobertas valem mais por um tempo.,Somebody decided to take this seriously. Discoveries are worth more for a while.
Shakespeare?,Shakespeare?,Shakespeare?
Por alguns segundos a chance de descoberta dispara. Provavelmente coincidência.,Por alguns segundos a chance de descoberta dispara. Provavelmente coincidência.,For a few seconds discovery chance spikes. Probably a coincidence.
Resolver,Resolver,Sort it out
Gerente Macaco,Gerente Macaco,Monkey Manager
Contrata macacos sozinho. Ele nunca pergunta o orçamento.,Contrata macacos sozinho. Ele nunca pergunta o orçamento.,Hires monkeys on its own. It never asks about the budget.
Técnico,Técnico,Technician
Troca a máquina pela seguinte assim que dá.,Troca a máquina pela seguinte assim que dá.,Swaps the typewriter for the next one as soon as it can.
Administrador,Administrador,Administrator
Expande a sala quando o espaço acaba. Nunca antes.,Expande a sala quando o espaço acaba. Nunca antes.,Expands the room when space runs out. Never before.
Diretor de Probabilidades,Diretor de Probabilidades,Director of Probabilities
Resolve sozinho o que estiver atrapalhando as descobertas.,Resolve sozinho o que estiver atrapalhando as descobertas.,Sorts out whatever is getting in the way of discoveries.
AUTOMAÇÃO,AUTOMAÇÃO,AUTOMATION
Ligada,Ligada,On
Desligada,Desligada,Off
Sistema Solar,Sistema Solar,Solar System
Estações orbitais cheias de macacos. A Lua virou servidor de texto.,Estações orbitais cheias de macacos. A Lua virou servidor de texto.,Orbital stations full of monkeys. The Moon became a text server.
Macacos Interestelares,Macacos Interestelares,Interstellar Monkeys
Sistemas solares inteiros trabalhando. Ninguém lembra quem começou.,Sistemas solares inteiros trabalhando. Ninguém lembra quem começou.,Entire solar systems working. Nobody remembers who started it.
Galáxia Tipográfica,Galáxia Tipográfica,Typographic Galaxy
Bilhões de estrelas abastecendo o processo. As bananas vêm de longe agora.,Bilhões de estrelas abastecendo o processo. As bananas vêm de longe agora.,Billions of stars powering the process. The bananas come from far away now.
Universo Observável,Universo Observável,Observable Universe
Toda matéria disponível está gerando combinações.,Toda matéria disponível está gerando combinações.,All available matter is generating combinations.
Computação Quântica,Computação Quântica,Quantum Computation
Macacos físicos deixaram de ser suficientes. Cada possibilidade passa a ser simulada.,Macacos físicos deixaram de ser suficientes. Cada possibilidade passa a ser simulada.,Physical monkeys are no longer enough. Each possibility is simulated.
Macacos Multiversais,Macacos Multiversais,Multiversal Monkeys
Cada universo calcula um conjunto diferente de textos. Em todos eles há uma banana.,Cada universo calcula um conjunto diferente de textos. Em todos eles há uma banana.,Each universe computes a different set of texts. All of them have a banana.
Biblioteca do Infinito,Biblioteca do Infinito,Library of Infinity
A quantidade de macacos deixou de fazer sentido. Resta a probabilidade — e um macaco.,A quantidade de macacos deixou de fazer sentido. Resta a probabilidade — e um macaco.,The number of monkeys stopped making sense. Probability remains — and one monkey.
simulações,simulações,simulations
universos,universos,universes
possibilidades,possibilidades,possibilities
Reescrever o Universo,Reescrever o Universo,Rewrite the Universe
Você levaria %s Fragmentos do Infinito.,Você levaria %s Fragmentos do Infinito.,You would take %s Infinity Fragments.
Você perde,Você perde,You lose
Você mantém,Você mantém,You keep
Todos os Pontos de Teorema,Todos os Pontos de Teorema,All Theorem Points
A Árvore de Teoremas inteira,A Árvore de Teoremas inteira,The entire Theorem Tree
"Macacos, máquinas, salas e upgrades","Macacos, máquinas, salas e upgrades","Monkeys, typewriters, rooms and upgrades"
As descobertas desta run,As descobertas desta run,The discoveries from this run
O total de caracteres e o Panorama,O total de caracteres e o Panorama,Your total characters and the Panorama
As estatísticas de sempre,As estatísticas de sempre,The statistics as always
As automações já compradas,As automações já compradas,The automations already bought
Os Fragmentos do Infinito,Os Fragmentos do Infinito,The Infinity Fragments
Fragmentos do Infinito,Fragmentos do Infinito,Infinity Fragments
Fragmentos,Fragmentos,Fragments
Hamlet,Hamlet,Hamlet
Um dos seus macacos aparentemente escreveu Hamlet. Inteiro. Sem uma única correção.,Um dos seus macacos aparentemente escreveu Hamlet. Inteiro. Sem uma única correção.,One of your monkeys apparently wrote Hamlet. The whole thing. Not one correction.
Romance Inédito,Romance Inédito,Unpublished Novel
Um romance completo e coerente que ninguém nunca escreveu antes. Não há com o que comparar.,Um romance completo e coerente que ninguém nunca escreveu antes. Não há com o que comparar.,A complete and coherent novel that no one has ever written before. There is nothing to compare it to.
Minha Biografia,Minha Biografia,My Biography
Um macaco escreveu a sua vida inteira. Os primeiros capítulos conferem.,Um macaco escreveu a sua vida inteira. Os primeiros capítulos conferem.,A monkey wrote your entire life. The early chapters check out.
O Jogo,O Jogo,The Game
Um macaco digitou o código-fonte deste jogo. Compila.,Um macaco digitou o código-fonte deste jogo. Compila.,A monkey typed the source code of this game. It compiles.
Essa Mensagem,Essa Mensagem,This Message
"Um macaco acabou de escrever exatamente este texto. Este aqui, o que você está lendo agora.","Um macaco acabou de escrever exatamente este texto. Este aqui, o que você está lendo agora.","A monkey just wrote exactly this text. This one, the one you are reading right now."
O Próximo Texto,O Próximo Texto,The Next Text
"Um macaco escreveu o que outro macaco escreveria cinco segundos depois. O segundo leu, e desistiu.","Um macaco escreveu o que outro macaco escreveria cinco segundos depois. O segundo leu, e desistiu.","A monkey wrote what another monkey would write five seconds later. The second one read it, and gave up."
O Macaco Infinito,O Macaco Infinito,The Infinite Monkey
Você percebe que nunca esteve tentando fazer o macaco escrever alguma coisa específica. Você estava apenas dando tempo suficiente ao acaso.,Você percebe que nunca esteve tentando fazer o macaco escrever alguma coisa específica. Você estava apenas dando tempo suficiente ao acaso.,You realize you were never trying to make the monkey write anything in particular. You were only giving chance enough time.
Idioma,Idioma,Language
Resolução,Resolução,Resolution
Janela,Janela,Windowed
Modo de janela,Modo de janela,Display mode
Tela cheia,Tela cheia,Fullscreen
Volume,Volume,Volume
Só aparecem as resoluções que cabem no seu monitor.,Só aparecem as resoluções que cabem no seu monitor.,Only resolutions that fit your monitor are listed.
Salvando...,Salvando...,Saving...
JUST KEEP TYPING,JUST KEEP TYPING,JUST KEEP TYPING
CONTINUAR,CONTINUAR,CONTINUE
MANUSCRITOS,MANUSCRITOS,MANUSCRIPTS
SAIR,SAIR,QUIT
VOLTAR,VOLTAR,BACK
MENU,MENU,MENU
Manuscrito vazio,Manuscrito vazio,Empty manuscript
Manuscrito ilegível,Manuscrito ilegível,Unreadable manuscript
Manuscrito %d,Manuscrito %d,Manuscript %d
JOGAR,JOGAR,PLAY
CONFIGURAÇÕES,CONFIGURAÇÕES,SETTINGS
CRÉDITOS,CRÉDITOS,CREDITS
Era: %s,Era: %s,Era: %s
%s caracteres,%s caracteres,%s characters
Última sessão: %s,Última sessão: %s,Last session: %s
Hoje às %s,Hoje às %s,Today at %s
Ontem às %s,Ontem às %s,Yesterday at %s
nunca,nunca,never
Nenhum Manuscrito para continuar.,Nenhum Manuscrito para continuar.,No Manuscript to continue.
Um incremental sobre o Teorema do Macaco Infinito.,Um incremental sobre o Teorema do Macaco Infinito.,An incremental about the Infinite Monkey Theorem.
Jogo e código,Jogo e código,Game and code
Motor,Motor,Engine
"Tempo infinito, uma máquina de escrever, e nenhuma pressa.","Tempo infinito, uma máquina de escrever, e nenhuma pressa.","Infinite time, one typewriter, and no hurry."
ARQUIVOS,ARQUIVOS,FILES
NOVO MANUSCRITO,NOVO MANUSCRITO,NEW MANUSCRIPT
Nada escrito ainda.,Nada escrito ainda.,Nothing written yet.
CRIAR,CRIAR,CREATE
CANCELAR,CANCELAR,CANCEL
ABRIR,ABRIR,OPEN
EXCLUIR,EXCLUIR,DELETE
SEGURE PARA EXCLUIR,SEGURE PARA EXCLUIR,HOLD TO DELETE
"Isto não tem volta: o Manuscrito, o metadado e a cópia de segurança somem.","Isto não tem volta: o Manuscrito, o metadado e a cópia de segurança somem.","There is no undo: the Manuscript, its metadata and its backup are gone."
O arquivo deste slot não abre. Excluir libera o slot.,O arquivo deste slot não abre. Excluir libera o slot.,This slot's file does not open. Deleting frees the slot.
Nome do Manuscrito,Nome do Manuscrito,Manuscript name
"Até %d caracteres. Em branco, o Manuscrito fica com o número do slot.","Até %d caracteres. Em branco, o Manuscrito fica com o número do slot.","Up to %d characters. Left blank, the Manuscript keeps the slot number."
Era,Era,Era
Caracteres,Caracteres,Characters
Tempo jogado,Tempo jogado,Time played
Criado em %s,Criado em %s,Created on %s
%s por segundo,%s por segundo,%s per second
Prestígios: %d,Prestígios: %d,Prestiges: %d
Hamlet Talvez,Hamlet Talvez,Maybe Hamlet
Operação Banana,Operação Banana,Operation Banana
Quase Shakespeare,Quase Shakespeare,Almost Shakespeare
Rascunho Infinito,Rascunho Infinito,Infinite Draft
Obra Sem Título,Obra Sem Título,Untitled Work
O Primeiro Capítulo,O Primeiro Capítulo,The First Chapter
"Em branco, o Manuscrito fica com o número do slot.","Em branco, o Manuscrito fica com o número do slot.","Left blank, the Manuscript keeps the slot number."
Até %d caracteres.,Até %d caracteres.,Up to %d characters.
"Este nome não cabe no cartão: até %d caracteres, e sem quebra de linha.","Este nome não cabe no cartão: até %d caracteres, e sem quebra de linha.","This name does not fit the card: up to %d characters, and no line breaks."
GERAL,GERAL,GENERAL
ÁUDIO,ÁUDIO,AUDIO
VÍDEO,VÍDEO,VIDEO
INTERFACE,INTERFACE,INTERFACE
ACESSIBILIDADE,ACESSIBILIDADE,ACCESSIBILITY
Desligado,Desligado,Off
Ligado,Ligado,On
Adaptativo,Adaptativo,Adaptive
Sem limite,Sem limite,Unlimited
Salvamento automático,Salvamento automático,Auto-save
Confirmações,Confirmações,Confirmations
Avisar ao alcançar um marco,Avisar ao alcançar um marco,Notify on milestone
Avisar ao encontrar uma descoberta,Avisar ao encontrar uma descoberta,Notify on discovery
Sincronização vertical,Sincronização vertical,Vertical sync
Limite de quadros por segundo,Limite de quadros por segundo,Frame rate limit
Modo econômico,Modo econômico,Power saving mode
"Desligado, o jogo ainda grava ao sair e ao prestigiar.","Desligado, o jogo ainda grava ao sair e ao prestigiar.","With it off, the game still saves on exit and on prestige."
Excluir Manuscrito confirma sempre — essa não tem volta.,Excluir Manuscrito confirma sempre — essa não tem volta.,Deleting a Manuscript always confirms — that one has no undo.
"Com o jogo em segundo plano, desenha menos quadros.","Com o jogo em segundo plano, desenha menos quadros.",Draws fewer frames while the game is in the background.
Marco: %s,Marco: %s,Milestone: %s
Descoberta: %s,Descoberta: %s,Discovery: %s
Volume geral,Volume geral,Master volume
Efeitos,Efeitos,Effects
Som de digitação,Som de digitação,Typing sound
Normal,Normal,Normal
Suave,Suave,Soft
Mecânico,Mecânico,Mechanical
"O ritmo acompanha a produção, e para de subir num teto.","O ritmo acompanha a produção, e para de subir num teto.","The rhythm follows production, and stops rising at a ceiling."
Interface,Interface,Interface
Escala da interface,Escala da interface,Interface scale
Formato numérico,Formato numérico,Number format
Abreviado,Abreviado,Abbreviated
Científico,Científico,Scientific
Engenharia,Engenharia,Engineering
Partículas de letra,Partículas de letra,Letter particles
Escala do texto,Escala do texto,Text scale
Reduzir movimento,Reduzir movimento,Reduce motion
Reduzir flashes,Reduzir flashes,Reduce flashes
Alto contraste,Alto contraste,High contrast
"Aumenta tudo: texto, botões e margens.","Aumenta tudo: texto, botões e margens.","Scales everything: text, buttons and margins."
Nenhum deles arredonda — o número na tela é o que dá para gastar.,Nenhum deles arredonda — o número na tela é o que dá para gastar.,None of them rounds — the number on screen is what you can spend.
"Aumenta só o texto, sem mexer no tamanho dos botões.","Aumenta só o texto, sem mexer no tamanho dos botões.","Scales the text only, leaving button sizes alone."
As letras param de subir e a troca de era acontece num quadro.,As letras param de subir e a troca de era acontece num quadro.,Letters stop rising and the era change happens in one frame.
Tira o clarão entre uma tela e outra.,Tira o clarão entre uma tela e outra.,Removes the flash between screens.
Clareia o que se lê e escurece o que fica atrás.,Clareia o que se lê e escurece o que fica atrás.,Brightens what you read and darkens what is behind it.
Aumenta só o texto. Só aparecem as escalas que cabem junto da escala da interface.,Aumenta só o texto. Só aparecem as escalas que cabem junto da escala da interface.,Scales the text only. Only scales that fit alongside the interface scale are listed.
banana,banana,banana
hello?,hello?,hello?
Tamanho,Tamanho,Size
Humano,Humano,Human
Conceito,Conceito,Concept
Uma Letra,Uma Letra,A Letter
A primeira coisa que o macaco produziu de propósito nenhum.,A primeira coisa que o macaco produziu de propósito nenhum.,The first thing the monkey produced on purpose of nothing at all.
A Mesma Letra Duas Vezes,A Mesma Letra Duas Vezes,The Same Letter Twice
"Duas vezes seguidas. O macaco não tentou, e é isso que impressiona.","Duas vezes seguidas. O macaco não tentou, e é isso que impressiona.","Twice in a row. The monkey did not try, and that is the impressive part."
Uma Sílaba,Uma Sílaba,A Syllable
"Consoante e vogal, nessa ordem. Já é mais do que parece.","Consoante e vogal, nessa ordem. Já é mais do que parece.","Consonant then vowel, in that order. That is more than it sounds."
Uma Sílaba Pronunciável,Uma Sílaba Pronunciável,A Pronounceable Syllable
Dá para dizer em voz alta sem treinar antes.,Dá para dizer em voz alta sem treinar antes.,You can say it out loud without practising first.
"Uma sílaba do português cabe em duas a quatro letras. Com vinte e seis teclas, a chance de acertar uma por acaso é bem maior do que a de acertar uma palavra.","Uma sílaba do português cabe em duas a quatro letras. Com vinte e seis teclas, a chance de acertar uma por acaso é bem maior do que a de acertar uma palavra.","A syllable fits in two to four letters. With twenty-six keys, hitting one by accident is far likelier than hitting a whole word."
Uma Vogal Sozinha,Uma Vogal Sozinha,A Vowel On Its Own
Uma letra que já é uma palavra inteira. Preguiça premiada.,Uma letra que já é uma palavra inteira. Preguiça premiada.,"One letter that is already a whole word. Laziness, rewarded."
Uma Palavra de Três Letras,Uma Palavra de Três Letras,A Three-Letter Word
"Curta, comum e completamente acidental.","Curta, comum e completamente acidental.","Short, common and completely accidental."
Uma Palavra Longa,Uma Palavra Longa,A Long Word
Doze letras na ordem certa. Ninguém estava olhando na hora.,Doze letras na ordem certa. Ninguém estava olhando na hora.,Twelve letters in the right order. Nobody was watching at the time.
EU,EU,I
Duas letras. Filosoficamente inconvenientes.,Duas letras. Filosoficamente inconvenientes.,One letter. Philosophically inconvenient.
É o pronome mais curto do português e o mais difícil de ignorar. O macaco não quis dizer nada — e é exatamente por isso que incomoda.,É o pronome mais curto do português e o mais difícil de ignorar. O macaco não quis dizer nada — e é exatamente por isso que incomoda.,"The shortest pronoun there is, and the hardest to ignore. The monkey meant nothing by it — which is exactly why it stings."
OLÁ,OLÁ,HELLO
"Por um instante, pareceu intencional.","Por um instante, pareceu intencional.","For a moment, it looked deliberate."
BANANA,BANANA,BANANA
"Contra todas as probabilidades, ele sabe exatamente o que quer.","Contra todas as probabilidades, ele sabe exatamente o que quer.","Against all odds, he knows exactly what he wants."
Uma Pergunta,Uma Pergunta,A Question
Termina em interrogação e tudo. Ninguém respondeu.,Termina em interrogação e tudo. Ninguém respondeu.,Question mark and everything. Nobody answered.
Uma Negação,Uma Negação,A Denial
O macaco discordou de alguma coisa. Não se sabe de quê.,O macaco discordou de alguma coisa. Não se sabe de quê.,The monkey disagreed with something. Nobody knows what.
Uma Frase Gramatical,Uma Frase Gramatical,A Grammatical Sentence
Estatisticamente improvável. Linguisticamente decepcionante.,Estatisticamente improvável. Linguisticamente decepcionante.,Statistically improbable. Linguistically disappointing.
Um Diálogo de Duas Linhas,Um Diálogo de Duas Linhas,A Two-Line Dialogue
"Alguém pergunta, alguém responde. Os dois são o mesmo macaco.","Alguém pergunta, alguém responde. Os dois são o mesmo macaco.","Someone asks, someone answers. Both of them are the same monkey."
Uma Definição,Uma Definição,A Definition
Uma palavra e o que ela significa. As duas partes saíram por acaso.,Uma palavra e o que ela significa. As duas partes saíram por acaso.,A word and what it means. Both halves came out by accident.
"Para uma definição funcionar, duas sequências independentes precisam cair certas ao mesmo tempo. A chance de cada uma se multiplica — é por isso que ela é mais rara que uma frase do mesmo tamanho.","Para uma definição funcionar, duas sequências independentes precisam cair certas ao mesmo tempo. A chance de cada uma se multiplica — é por isso que ela é mais rara que uma frase do mesmo tamanho.","For a definition to work, two independent sequences have to land correctly at once. Their chances multiply — which is why it is rarer than a sentence of the same length."
Um Trocadilho,Um Trocadilho,A Pun
"Involuntário, como todo bom trocadilho.","Involuntário, como todo bom trocadilho.","Involuntary, like every good pun."
Uma Lista,Uma Lista,A List
Três itens e um traço na frente de cada. Organizadíssima e sobre nada.,Três itens e um traço na frente de cada. Organizadíssima e sobre nada.,"Three items, each with a dash in front. Immaculately organised, about nothing."
Um Provérbio,Um Provérbio,A Proverb
Soa antigo e sábio. Tem doze segundos de idade.,Soa antigo e sábio. Tem doze segundos de idade.,Sounds ancient and wise. It is twelve seconds old.
Um Haicai,Um Haicai,A Haiku
"Cinco, sete, cinco. A métrica saiu certa e ninguém contou.","Cinco, sete, cinco. A métrica saiu certa e ninguém contou.","Five, seven, five. The metre came out right and nobody counted."
Uma Letra de Música,Uma Letra de Música,A Song Lyric
Com refrão. O refrão se repete porque o acaso também se repete.,Com refrão. O refrão se repete porque o acaso também se repete.,With a chorus. The chorus repeats because chance repeats too.
Uma Receita Funcional,Uma Receita Funcional,A Working Recipe
"Ingredientes, modo de preparo e um tempo de forno plausível. Não teste.","Ingredientes, modo de preparo e um tempo de forno plausível. Não teste.","Ingredients, method and a plausible oven time. Do not test it."
Uma Carta de Amor,Uma Carta de Amor,A Love Letter
"Endereçada a ninguém, assinada por acaso.","Endereçada a ninguém, assinada por acaso.","Addressed to nobody, signed by chance."
Uma Piada,Uma Piada,A Joke
Tem graça. É a parte mais improvável de tudo isto.,Tem graça. É a parte mais improvável de tudo isto.,It is funny. That is the least probable part of all this.
Um Obituário,Um Obituário,An Obituary
De alguém que não existiu. A família fictícia agradece.,De alguém que não existiu. A família fictícia agradece.,For someone who never existed. The fictional family sends its thanks.
Um Verbete,Um Verbete,A Dictionary Entry
"Com etimologia. A etimologia também está errada, mas convence.","Com etimologia. A etimologia também está errada, mas convence.","With an etymology. The etymology is also wrong, but convincing."
Um Capítulo Coerente,Um Capítulo Coerente,A Coherent Chapter
Onze páginas que se sustentam. A décima segunda não.,Onze páginas que se sustentam. A décima segunda não.,Eleven pages that hold together. The twelfth does not.
Um Ensaio,Um Ensaio,An Essay
Defende uma tese do começo ao fim. A tese é sobre bananas.,Defende uma tese do começo ao fim. A tese é sobre bananas.,Argues one thesis from start to finish. The thesis is about bananas.
Um Manifesto,Um Manifesto,A Manifesto
"Convicto, urgente e completamente sem causa.","Convicto, urgente e completamente sem causa.","Convinced, urgent and entirely without a cause."
Uma Novela Curta,Uma Novela Curta,A Novella
Cento e vinte páginas com personagens que não se contradizem.,Cento e vinte páginas com personagens que não se contradizem.,A hundred and twenty pages with characters who never contradict themselves.
